timestamp,value
0.000000,-96.0
0.002778,-63.0
0.005556,-39.0
0.008333,-37.0
0.011111,-50.0
0.013889,-67.0
0.016667,-72.0
0.019444,-77.0
0.022222,-86.0
0.025000,-92.0
0.027778,-91.0
0.030556,-83.0
0.033333,-73.0
0.036111,-69.0
0.038889,-74.0
0.041667,-83.0
0.044444,-90.0
0.047222,-90.0
0.050000,-83.0
0.052778,-74.0
0.055556,-71.0
0.058333,-75.0
0.061111,-84.0
0.063889,-91.0
0.066667,-86.0
0.069444,-77.0
0.072222,-68.0
0.075000,-58.0
0.077778,-48.0
0.080556,-37.0
0.083333,-26.0
0.086111,-14.0
0.088889,-2.0
0.091667,11.0
0.094444,26.0
0.097222,43.0
0.100000,58.0
0.102778,76.0
0.105556,96.0
0.108333,117.0
0.111111,135.0
0.113889,152.0
0.116667,164.0
0.119444,170.0
0.122222,172.0
0.125000,167.0
0.127778,157.0
0.130556,146.0
0.133333,132.0
0.136111,114.0
0.138889,96.0
0.141667,79.0
0.144444,64.0
0.147222,51.0
0.150000,39.0
0.152778,26.0
0.155556,14.0
0.158333,3.0
0.161111,-5.0
0.163889,-13.0
0.166667,-20.0
0.169444,-25.0
0.172222,-30.0
0.175000,-34.0
0.177778,-37.0
0.180556,-40.0
0.183333,-44.0
0.186111,-46.0
0.188889,-45.0
0.191667,-41.0
0.194444,-35.0
0.197222,-28.0
0.200000,-22.0
0.202778,-17.0
0.205556,-12.0
0.208333,-11.0
0.211111,-13.0
0.213889,-17.0
0.216667,-22.0
0.219444,-24.0
0.222222,-21.0
0.225000,-17.0
0.227778,-10.0
0.230556,-1.0
0.233333,8.0
0.236111,17.0
0.238889,21.0
0.241667,18.0
0.244444,12.0
0.247222,4.0
0.250000,-9.0
0.252778,-28.0
0.255556,-52.0
0.258333,-80.0
0.261111,-107.0
0.263889,-132.0
0.266667,-156.0
0.269444,-177.0
0.272222,-196.0
0.275000,-212.0
0.277778,-221.0
0.280556,-224.0
0.283333,-225.0
0.286111,-227.0
0.288889,-228.0
0.291667,-228.0
0.294444,-227.0
0.297222,-225.0
0.300000,-222.0
0.302778,-221.0
0.305556,-223.0
0.308333,-236.0
0.311111,-257.0
0.313889,-282.0
0.316667,-310.0
0.319444,-335.0
0.322222,-353.0
0.325000,-351.0
0.327778,-315.0
0.330556,-232.0
0.333333,-97.0
0.336111,95.0
0.338889,325.0
0.341667,563.0
0.344444,843.0
0.347222,1154.0
0.350000,1392.0
0.352778,1517.0
0.355556,1517.0
0.358333,1393.0
0.361111,1189.0
0.363889,874.0
0.366667,464.0
0.369444,66.0
0.372222,-271.0
0.375000,-536.0
0.377778,-701.0
0.380556,-783.0
0.383333,-793.0
0.386111,-751.0
0.388889,-681.0
0.391667,-599.0
0.394444,-521.0
0.397222,-457.0
0.400000,-411.0
0.402778,-383.0
0.405556,-369.0
0.408333,-364.0
0.411111,-366.0
0.413889,-369.0
0.416667,-370.0
0.419444,-371.0
0.422222,-374.0
0.425000,-377.0
0.427778,-382.0
0.430556,-386.0
0.433333,-390.0
0.436111,-395.0
0.438889,-400.0
0.441667,-403.0
0.444444,-407.0
0.447222,-410.0
0.450000,-413.0
0.452778,-416.0
0.455556,-416.0
0.458333,-424.0
