timestamp,value
0.000000,117.0
0.002778,116.0
0.005556,105.0
0.008333,97.0
0.011111,100.0
0.013889,115.0
0.016667,131.0
0.019444,136.0
0.022222,144.0
0.025000,150.0
0.027778,151.0
0.030556,149.0
0.033333,143.0
0.036111,141.0
0.038889,142.0
0.041667,145.0
0.044444,150.0
0.047222,152.0
0.050000,146.0
0.052778,137.0
0.055556,128.0
0.058333,125.0
0.061111,129.0
0.063889,138.0
0.066667,151.0
0.069444,166.0
0.072222,177.0
0.075000,190.0
0.077778,204.0
0.080556,223.0
0.083333,244.0
0.086111,265.0
0.088889,283.0
0.091667,299.0
0.094444,314.0
0.097222,328.0
0.100000,341.0
0.102778,351.0
0.105556,359.0
0.108333,367.0
0.111111,373.0
0.113889,374.0
0.116667,370.0
0.119444,361.0
0.122222,348.0
0.125000,332.0
0.127778,311.0
0.130556,290.0
0.133333,270.0
0.136111,252.0
0.138889,234.0
0.141667,217.0
0.144444,199.0
0.147222,185.0
0.150000,174.0
0.152778,167.0
0.155556,164.0
0.158333,163.0
0.161111,165.0
0.163889,167.0
0.166667,169.0
0.169444,169.0
0.172222,165.0
0.175000,160.0
0.177778,155.0
0.180556,150.0
0.183333,147.0
0.186111,144.0
0.188889,140.0
0.191667,134.0
0.194444,126.0
0.197222,122.0
0.200000,121.0
0.202778,126.0
0.205556,133.0
0.208333,143.0
0.211111,157.0
0.213889,172.0
0.216667,185.0
0.219444,196.0
0.222222,200.0
0.225000,198.0
0.227778,194.0
0.230556,186.0
0.233333,174.0
0.236111,158.0
0.238889,139.0
0.241667,121.0
0.244444,106.0
0.247222,90.0
0.250000,77.0
0.252778,66.0
0.255556,57.0
0.258333,52.0
0.261111,47.0
0.263889,44.0
0.266667,43.0
0.269444,40.0
0.272222,37.0
0.275000,37.0
0.277778,38.0
0.280556,40.0
0.283333,41.0
0.286111,37.0
0.288889,28.0
0.291667,11.0
0.294444,-18.0
0.297222,-54.0
0.300000,-93.0
0.302778,-123.0
0.305556,-131.0
0.308333,-98.0
0.311111,-15.0
0.313889,128.0
0.316667,331.0
0.319444,602.0
0.322222,907.0
0.325000,1191.0
0.327778,1410.0
0.330556,1561.0
0.333333,1628.0
0.336111,1573.0
0.338889,1395.0
0.341667,1126.0
0.344444,823.0
0.347222,525.0
0.350000,246.0
0.352778,-1.0
0.355556,-180.0
0.358333,-293.0
0.361111,-350.0
0.363889,-356.0
0.366667,-321.0
0.369444,-272.0
0.372222,-220.0
0.375000,-171.0
0.377778,-134.0
0.380556,-108.0
0.383333,-94.0
0.386111,-91.0
0.388889,-91.0
0.391667,-93.0
0.394444,-96.0
0.397222,-98.0
0.400000,-98.0
0.402778,-96.0
0.405556,-93.0
0.408333,-92.0
0.411111,-91.0
0.413889,-89.0
0.416667,-86.0
0.419444,-83.0
0.422222,-80.0
0.425000,-73.0
0.427778,-66.0
0.430556,-59.0
0.433333,-54.0
0.436111,-51.0
0.438889,-48.0
0.441667,-46.0
0.444444,-46.0
0.447222,-43.0
0.450000,-41.0
0.452778,-41.0
0.455556,-39.0
0.458333,-39.0
0.461111,-36.0
0.463889,-31.0
0.466667,-26.0
0.469444,-20.0
0.472222,-13.0
0.475000,-6.0
0.477778,2.0
0.480556,12.0
0.483333,23.0
0.486111,35.0
0.488889,48.0
0.491667,61.0
0.494444,76.0
0.497222,94.0
0.500000,109.0
0.502778,125.0
0.505556,142.0
0.508333,160.0
0.511111,180.0
0.513889,196.0
0.516667,206.0
0.519444,215.0
0.522222,223.0
0.525000,228.0
0.527778,228.0
0.530556,224.0
0.533333,213.0
0.536111,199.0
0.538889,184.0
0.541667,167.0
0.544444,150.0
0.547222,133.0
0.550000,116.0
0.552778,100.0
0.555556,84.0
0.558333,69.0
0.561111,54.0
0.563889,41.0
0.566667,27.0
0.569444,14.0
0.572222,2.0
0.575000,-8.0
0.577778,-18.0
0.580556,-24.0
0.583333,-28.0
0.586111,-29.0
0.588889,-30.0
0.591667,-28.0
0.594444,-27.0
0.597222,-26.0
0.600000,-26.0
0.602778,-28.0
0.605556,-31.0
0.608333,-35.0
0.611111,-38.0
0.613889,-37.0
0.616667,-32.0
0.619444,-21.0
0.622222,-4.0
0.625000,15.0
0.627778,36.0
0.630556,58.0
0.633333,75.0
0.636111,88.0
0.638889,94.0
0.641667,95.0
0.644444,91.0
0.647222,81.0
0.650000,66.0
0.652778,46.0
0.655556,24.0
0.658333,3.0
0.661111,-16.0
0.663889,-35.0
0.666667,-50.0
0.669444,-62.0
0.672222,-70.0
0.675000,-73.0
0.677778,-75.0
0.680556,-74.0
0.683333,-71.0
0.686111,-94.0
0.688889,-110.0
0.691667,-106.0
0.694444,-65.0
0.697222,-39.0
0.700000,-47.0
0.702778,-95.0
0.705556,-139.0
0.708333,-175.0
0.711111,-198.0
0.713889,-217.0
0.716667,-216.0
0.719444,-180.0
0.722222,-99.0
0.725000,37.0
0.727778,225.0
0.730556,470.0
0.733333,745.0
0.736111,971.0
0.738889,1162.0
0.741667,1338.0
0.744444,1404.0
0.747222,1364.0
0.750000,1210.0
0.752778,953.0
0.755556,685.0
0.758333,398.0
0.761111,76.0
0.763889,-183.0
0.766667,-383.0
0.769444,-518.0
0.772222,-574.0
0.775000,-567.0
0.777778,-523.0
0.780556,-457.0
0.783333,-384.0
0.786111,-316.0
0.788889,-257.0
0.791667,-213.0
0.794444,-185.0
0.797222,-170.0
0.800000,-162.0
0.802778,-160.0
0.805556,-157.0
0.808333,-153.0
0.811111,-150.0
0.813889,-148.0
0.816667,-146.0
0.819444,-142.0
0.822222,-137.0
0.825000,-131.0
0.827778,-124.0
0.830556,-119.0
0.833333,-117.0
0.836111,-115.0
0.838889,-113.0
0.841667,-112.0
0.844444,-109.0
0.847222,-106.0
0.850000,-102.0
0.852778,-97.0
0.855556,-91.0
0.858333,-85.0
0.861111,-78.0
0.863889,-73.0
0.866667,-66.0
0.869444,-62.0
0.872222,-60.0
0.875000,-58.0
0.877778,-55.0
0.880556,-49.0
0.883333,-42.0
0.886111,-36.0
0.888889,-29.0
0.891667,-21.0
0.894444,-13.0
0.897222,-4.0
0.900000,4.0
0.902778,15.0
0.905556,25.0
0.908333,38.0
0.911111,54.0
0.913889,73.0
0.916667,94.0
0.919444,116.0
0.922222,139.0
0.925000,161.0
0.927778,177.0
0.930556,190.0
0.933333,200.0
0.936111,207.0
0.938889,209.0
0.941667,207.0
0.944444,200.0
0.947222,191.0
0.950000,178.0
0.952778,163.0
0.955556,144.0
0.958333,125.0
0.961111,106.0
0.963889,89.0
0.966667,73.0
0.969444,60.0
0.972222,47.0
0.975000,36.0
0.977778,27.0
0.980556,17.0
0.983333,7.0
0.986111,0.0
0.988889,-3.0
0.991667,-5.0
0.994444,-4.0
0.997222,-1.0
1.000000,5.0
1.002778,22.0
1.005556,38.0
1.008333,45.0
1.011111,43.0
1.013889,34.0
1.016667,27.0
1.019444,28.0
1.022222,27.0
1.025000,33.0
1.027778,44.0
1.030556,65.0
1.033333,90.0
1.036111,115.0
1.038889,134.0
1.041667,145.0
1.044444,149.0
1.047222,153.0
1.050000,153.0
1.052778,152.0
1.055556,145.0
1.058333,130.0
1.061111,109.0
1.063889,85.0
1.066667,62.0
1.069444,41.0
1.072222,22.0
1.075000,6.0
1.077778,-5.0
1.080556,-14.0
1.083333,-16.0
1.086111,-14.0
1.088889,-13.0
1.091667,-12.0
1.094444,-11.0
1.097222,-9.0
1.100000,-5.0
1.102778,-2.0
1.105556,0.0
1.108333,-3.0
1.111111,-12.0
1.113889,-27.0
1.116667,-49.0
1.119444,-76.0
1.122222,-102.0
1.125000,-121.0
1.127778,-127.0
1.130556,-111.0
1.133333,-61.0
1.136111,33.0
1.138889,176.0
1.141667,382.0
1.144444,616.0
1.147222,833.0
1.150000,1056.0
1.152778,1285.0
1.155556,1420.0
1.158333,1454.0
1.161111,1360.0
1.163889,1179.0
1.166667,955.0
1.169444,670.0
1.172222,324.0
1.175000,23.0
1.177778,-223.0
1.180556,-400.0
1.183333,-510.0
1.186111,-559.0
1.188889,-553.0
1.191667,-509.0
1.194444,-441.0
1.197222,-364.0
1.200000,-285.0
1.202778,-215.0
1.205556,-155.0
1.208333,-112.0
1.211111,-84.0
1.213889,-68.0
1.216667,-57.0
1.219444,-52.0
1.222222,-49.0
1.225000,-47.0
1.227778,-43.0
1.230556,-39.0
1.233333,-31.0
1.236111,-25.0
1.238889,-18.0
1.241667,-11.0
1.244444,-4.0
1.247222,0.0
1.250000,2.0
1.252778,1.0
1.255556,0.0
1.258333,0.0
1.261111,0.0
1.263889,-1.0
1.266667,0.0
1.269444,0.0
1.272222,2.0
1.275000,5.0
1.277778,4.0
1.280556,5.0
1.283333,5.0
1.286111,4.0
1.288889,4.0
1.291667,5.0
1.294444,7.0
1.297222,14.0
1.300000,23.0
1.302778,33.0
1.305556,43.0
1.308333,51.0
1.311111,63.0
1.313889,75.0
1.316667,86.0
1.319444,100.0
1.322222,115.0
1.325000,132.0
1.327778,151.0
1.330556,168.0
1.333333,186.0
1.336111,206.0
1.338889,228.0
1.341667,249.0
1.344444,267.0
1.347222,283.0
1.350000,295.0
1.352778,304.0
1.355556,304.0
1.358333,299.0
1.361111,291.0
1.363889,279.0
1.366667,263.0
1.369444,247.0
1.372222,227.0
1.375000,206.0
1.377778,186.0
1.380556,165.0
1.383333,146.0
1.386111,129.0
1.388889,113.0
1.391667,101.0
1.394444,91.0
1.397222,82.0
1.400000,76.0
1.402778,73.0
1.405556,72.0
1.408333,74.0
1.411111,78.0
1.413889,84.0
1.416667,90.0
1.419444,93.0
1.422222,95.0
1.425000,95.0
1.427778,92.0
1.430556,91.0
1.433333,91.0
1.436111,95.0
1.438889,103.0
1.441667,116.0
1.444444,132.0
1.447222,151.0
1.450000,169.0
1.452778,186.0
1.455556,197.0
1.458333,201.0
1.461111,201.0
1.463889,196.0
1.466667,186.0
1.469444,171.0
1.472222,151.0
1.475000,128.0
1.477778,106.0
1.480556,85.0
1.483333,66.0
1.486111,49.0
1.488889,35.0
1.491667,23.0
1.494444,15.0
1.497222,10.0
1.500000,8.0
1.502778,7.0
1.505556,6.0
1.508333,6.0
1.511111,5.0
1.513889,3.0
1.516667,2.0
1.519444,-3.0
1.522222,-13.0
1.525000,-31.0
1.527778,-55.0
1.530556,-83.0
1.533333,-114.0
1.536111,-144.0
1.538889,-164.0
1.541667,-164.0
1.544444,-130.0
1.547222,-53.0
1.550000,78.0
1.552778,280.0
1.555556,516.0
1.558333,768.0
1.561111,1043.0
1.563889,1317.0
1.566667,1546.0
1.569444,1653.0
1.572222,1622.0
1.575000,1487.0
1.577778,1270.0
1.580556,965.0
1.583333,604.0
1.586111,236.0
1.588889,-63.0
1.591667,-288.0
1.594444,-435.0
1.597222,-508.0
1.600000,-514.0
1.602778,-476.0
1.605556,-416.0
1.608333,-346.0
1.611111,-279.0
1.613889,-223.0
1.616667,-180.0
1.619444,-151.0
1.622222,-135.0
1.625000,-125.0
1.627778,-121.0
1.630556,-118.0
1.633333,-114.0
1.636111,-110.0
1.638889,-105.0
1.641667,-101.0
1.644444,-97.0
1.647222,-95.0
1.650000,-92.0
1.652778,-90.0
1.655556,-112.0
1.658333,-128.0
1.661111,-124.0
1.663889,-82.0
1.666667,-46.0
1.669444,-35.0
1.672222,-54.0
1.675000,-61.0
1.677778,-62.0
1.680556,-53.0
1.683333,-53.0
1.686111,-53.0
1.688889,-54.0
1.691667,-54.0
1.694444,-54.0
1.697222,-53.0
1.700000,-52.0
1.702778,-50.0
1.705556,-48.0
1.708333,-46.0
1.711111,-42.0
1.713889,-39.0
1.716667,-34.0
1.719444,-28.0
1.722222,-19.0
1.725000,-9.0
1.727778,2.0
1.730556,17.0
1.733333,33.0
1.736111,49.0
1.738889,66.0
1.741667,83.0
1.744444,98.0
1.747222,113.0
1.750000,130.0
1.752778,149.0
1.755556,166.0
1.758333,181.0
1.761111,192.0
1.763889,200.0
1.766667,203.0
1.769444,199.0
1.772222,189.0
1.775000,176.0
1.777778,159.0
1.780556,140.0
1.783333,121.0
1.786111,104.0
1.788889,88.0
1.791667,73.0
1.794444,63.0
1.797222,53.0
1.800000,46.0
1.802778,40.0
1.805556,34.0
1.808333,30.0
1.811111,28.0
1.813889,25.0
1.816667,23.0
1.819444,22.0
1.822222,21.0
1.825000,18.0
1.827778,15.0
1.830556,11.0
1.833333,5.0
1.836111,0.0
1.838889,-7.0
1.841667,-12.0
1.844444,-15.0
1.847222,-15.0
1.850000,-12.0
1.852778,-5.0
1.855556,6.0
1.858333,22.0
1.861111,38.0
1.863889,54.0
1.866667,65.0
1.869444,70.0
1.872222,69.0
1.875000,63.0
1.877778,49.0
1.880556,30.0
1.883333,7.0
1.886111,-16.0
1.888889,-40.0
1.891667,-66.0
1.894444,-88.0
1.897222,-105.0
1.900000,-119.0
1.902778,-129.0
1.905556,-134.0
1.908333,-137.0
1.911111,-138.0
1.913889,-139.0
1.916667,-141.0
1.919444,-140.0
1.922222,-139.0
1.925000,-139.0
1.927778,-139.0
1.930556,-144.0
1.933333,-156.0
1.936111,-176.0
1.938889,-204.0
1.941667,-239.0
1.944444,-278.0
1.947222,-313.0
1.950000,-333.0
1.952778,-322.0
1.955556,-263.0
1.958333,-145.0
1.961111,40.0
1.963889,310.0
1.966667,632.0
1.969444,965.0
1.972222,1268.0
1.975000,1495.0
1.977778,1639.0
1.980556,1660.0
1.983333,1528.0
1.986111,1283.0
1.988889,961.0
1.991667,606.0
1.994444,265.0
1.997222,-51.0
2.000000,-308.0
2.002778,-491.0
2.005556,-597.0
2.008333,-627.0
2.011111,-597.0
2.013889,-540.0
2.016667,-478.0
2.019444,-417.0
2.022222,-362.0
2.025000,-324.0
2.027778,-305.0
2.030556,-301.0
2.033333,-304.0
2.036111,-306.0
2.038889,-305.0
2.041667,-302.0
2.044444,-298.0
2.047222,-297.0
2.050000,-299.0
2.052778,-298.0
2.055556,-295.0
2.058333,-290.0
2.061111,-282.0
2.063889,-276.0
2.066667,-268.0
2.069444,-262.0
2.072222,-254.0
2.075000,-249.0
2.077778,-246.0
2.080556,-245.0
2.083333,-245.0
2.086111,-247.0
2.088889,-246.0
2.091667,-245.0
2.094444,-242.0
2.097222,-237.0
2.100000,-232.0
2.102778,-227.0
2.105556,-222.0
2.108333,-219.0
2.111111,-215.0
2.113889,-210.0
2.116667,-203.0
2.119444,-197.0
2.122222,-189.0
2.125000,-182.0
2.127778,-173.0
2.130556,-162.0
2.133333,-149.0
